nm, %T
646.000000, 62.029478
645.000000, 61.851670
644.000000, 61.875855
643.000000, 61.745077
642.000000, 61.548549
641.000000, 61.575440
640.000000, 61.516593
639.000000, 61.383270
638.000000, 61.397661
637.000000, 61.237305
636.000000, 61.249454
635.000000, 61.068035
634.000000, 61.056773
633.000000, 60.866954
632.000000, 60.765785
631.000000, 60.738273
630.000000, 60.639633
629.000000, 60.487965
628.000000, 60.418145
627.000000, 60.338613
626.000000, 60.317634
625.000000, 60.197782
624.000000, 60.067700
623.000000, 59.956332
622.000000, 59.823183
621.000000, 59.790324
620.000000, 59.702716
619.000000, 59.503275
618.000000, 59.409836
617.000000, 59.302326
616.000000, 59.187462
615.000000, 59.027322
614.000000, 58.948747
613.000000, 58.768290
612.000000, 58.742557
611.000000, 58.587182
610.000000, 58.484898
609.000000, 58.332423
608.000000, 58.175362
607.000000, 58.097841
606.000000, 57.981952
605.000000, 57.823948
604.000000, 57.639154
603.000000, 57.532673
602.000000, 57.324075
601.000000, 57.184254
600.000000, 56.999945
599.000000, 56.837326
598.000000, 56.683467
597.000000, 56.379952
596.000000, 56.251370
595.000000, 56.071076
594.000000, 55.863961
593.000000, 55.685003
592.000000, 55.360677
591.000000, 55.166153
590.000000, 54.846531
589.000000, 54.677250
588.000000, 54.231024
587.000000, 53.936682
586.000000, 53.599292
585.000000, 53.213752
584.000000, 52.835837
583.000000, 52.382009
582.000000, 51.962689
581.000000, 51.536367
580.000000, 51.042651
579.000000, 50.606972
578.000000, 50.064099
577.000000, 49.448284
576.000000, 48.898801
575.000000, 48.391960
574.000000, 47.742765
573.000000, 47.130483
572.000000, 46.533102
571.000000, 45.777131
570.000000, 45.046206
569.000000, 44.400202
568.000000, 43.763320
567.000000, 42.918022
566.000000, 42.130954
565.000000, 41.461634
564.000000, 40.658538
563.000000, 39.891941
562.000000, 38.988011
561.000000, 38.336714
560.000000, 37.619745
559.000000, 36.833493
558.000000, 35.883250
557.000000, 35.114978
556.000000, 34.421130
555.000000, 33.642534
554.000000, 32.695898
553.000000, 31.927063
552.000000, 31.109475
551.000000, 30.400771
550.000000, 29.551511
549.000000, 28.840374
548.000000, 28.155835
547.000000, 27.435083
546.000000, 26.803948
545.000000, 26.269165
544.000000, 25.716235
543.000000, 25.092419
542.000000, 24.693042
541.000000, 24.233618
540.000000, 23.806268
539.000000, 23.343974
538.000000, 22.971585
537.000000, 22.667809
536.000000, 22.314238
535.000000, 22.056888
534.000000, 21.834736
533.000000, 21.530525
532.000000, 21.234724
531.000000, 20.925958
530.000000, 20.622590
529.000000, 20.238232
528.000000, 19.829670
527.000000, 19.443643
526.000000, 18.629489
525.000000, 18.073124
524.000000, 17.189939
523.000000, 16.329129
522.000000, 15.330626
521.000000, 14.315557
520.000000, 13.367430
519.000000, 12.417806
518.000000, 11.509577
517.000000, 10.982726
516.000000, 10.341805
515.000000, 9.890110
514.000000, 9.602765
513.000000, 9.465165
512.000000, 9.320092
511.000000, 9.214937
510.000000, 9.130563
509.000000, 9.119348
508.000000, 9.066178
507.000000, 9.091447
506.000000, 8.995493
505.000000, 9.133615
504.000000, 9.155809
503.000000, 9.129398
502.000000, 9.226173
501.000000, 9.241082
500.000000, 9.137755
499.000000, 9.272160
498.000000, 9.297707
497.000000, 9.247998
496.000000, 9.422786
495.000000, 9.466667
494.000000, 9.430529
493.000000, 9.467671
492.000000, 9.477721
491.000000, 9.616090
490.000000, 9.517393
489.000000, 9.601572
488.000000, 9.500369
487.000000, 9.598173
486.000000, 9.588363
485.000000, 9.456353
484.000000, 9.612992
483.000000, 9.414409
482.000000, 9.405135
481.000000, 9.439064
480.000000, 9.245711
479.000000, 9.287476
478.000000, 9.239647
477.000000, 9.104781
476.000000, 9.172731
475.000000, 9.217269
474.000000, 9.169294
473.000000, 9.068043
472.000000, 9.109744
471.000000, 9.059573
470.000000, 9.135996
469.000000, 9.156358
468.000000, 9.178649
467.000000, 9.057374
466.000000, 9.052493
465.000000, 8.994428
464.000000, 9.200533
463.000000, 9.144996
462.000000, 9.011122
461.000000, 9.058483
460.000000, 8.991955
459.000000, 8.999661
458.000000, 8.886925
457.000000, 9.035651
456.000000, 9.124563
455.000000, 9.032746
454.000000, 9.268461
453.000000, 9.034311
452.000000, 9.047255
451.000000, 8.944681
450.000000, 8.912769
449.000000, 8.988133
448.000000, 9.081250
447.000000, 8.952571
446.000000, 9.147254
445.000000, 9.131276
444.000000, 9.081736
443.000000, 9.029786
442.000000, 8.934283
441.000000, 9.220220
440.000000, 9.217775
439.000000, 9.307647
438.000000, 9.103089
437.000000, 9.152669
436.000000, 9.031727
435.000000, 9.158977
434.000000, 9.389243
433.000000, 9.137561
432.000000, 8.909667
431.000000, 9.261548
430.000000, 9.392996
429.000000, 9.160724
428.000000, 9.201634
427.000000, 9.427529
426.000000, 9.498408
425.000000, 9.437285
424.000000, 9.198550
423.000000, 9.302326
422.000000, 9.083510
421.000000, 9.618070
420.000000, 9.417667
419.000000, 9.474726
418.000000, 9.568465
417.000000, 9.578640
416.000000, 9.697427
415.000000, 9.741517
414.000000, 9.612127
413.000000, 9.717254
412.000000, 9.597126
411.000000, 9.803922
410.000000, 9.772550
409.000000, 9.927908
408.000000, 9.895197
407.000000, 9.939468
406.000000, 9.938217
405.000000, 9.954791
404.000000, 10.011600
403.000000, 10.060866
402.000000, 10.178507
401.000000, 10.178555
400.000000, 10.282332
399.000000, 10.342616
398.000000, 10.211040
397.000000, 10.291262
396.000000, 10.423453
395.000000, 10.236736
394.000000, 10.501508
393.000000, 10.558241
392.000000, 10.629584
391.000000, 10.716338
390.000000, 10.715320
389.000000, 10.694202
388.000000, 10.776576
387.000000, 11.026169
386.000000, 10.885226
385.000000, 10.604390
384.000000, 9.230769
383.000000, 7.634581
382.000000, 7.500255
381.000000, 10.216872
380.000000, 8.536334
379.000000, 10.974744
378.000000, 11.420956
377.000000, 11.607327
376.000000, 11.039164
375.000000, 10.559983
374.000000, 12.566222
373.000000, 11.258771
372.000000, 12.452789
371.000000, 11.593730
370.000000, 11.654785
369.000000, 11.120908
368.000000, 11.172750
367.000000, 12.234523
366.000000, 11.806576
365.000000, 10.302135
364.000000, 11.630847
363.000000, 11.172990
362.000000, 11.869367
361.000000, 11.075949
360.000000, 11.804901
359.000000, 11.272123
358.000000, 12.949120
357.000000, 11.097635
356.000000, 11.925043
355.000000, 10.439095
354.000000, 11.383005
353.000000, 9.811227
352.000000, 11.120885
351.000000, 10.313007
350.000000, 9.958817
349.000000, 11.016071
348.000000, 10.677880
347.000000, 11.641906
346.000000, 9.925752
345.000000, 7.768898
344.000000, 11.535969
343.000000, 9.854497
342.000000, 9.611805
341.000000, 10.029738
340.000000, 10.938764
339.000000, 11.158741
338.000000, 8.963283
337.000000, 7.256854
336.000000, 10.753587
335.000000, 7.775169
334.000000, 9.907434
333.000000, 8.650861
332.000000, 10.381724
331.000000, 4.718330
330.000000, 7.226277
329.000000, 7.556151
328.000000, 7.097442
327.000000, 8.665536
326.000000, 9.454191
325.000000, 8.561304
324.000000, 8.326168
323.000000, 8.568143
322.000000, 7.794842
321.000000, 8.479490
320.000000, 8.082734
319.000000, 7.534856
318.000000, 7.458030
317.000000, 6.609110
316.000000, 6.691843
315.000000, 7.564940
314.000000, 7.792998
313.000000, 7.055924
312.000000, 7.025942
311.000000, 7.726269
310.000000, 6.885610
309.000000, 7.632000
308.000000, 6.040052
307.000000, 7.358674
306.000000, 7.776307
305.000000, 7.595773
304.000000, 8.050209
303.000000, 8.351686
302.000000, 7.297528
301.000000, 8.051282
300.000000, 7.497397
