nm, %T
900.000000, 92.382715
899.000000, 92.474682
898.000000, 92.574904
897.000000, 92.643065
896.000000, 92.656849
895.000000, 92.459977
894.000000, 92.751202
893.000000, 92.783872
892.000000, 92.580170
891.000000, 92.596753
890.000000, 92.606805
889.000000, 92.293484
888.000000, 91.904102
887.000000, 91.929662
886.000000, 91.403346
885.000000, 90.988613
884.000000, 90.550649
883.000000, 89.856579
882.000000, 89.583551
881.000000, 89.418794
880.000000, 88.985720
879.000000, 89.257113
878.000000, 89.386979
877.000000, 89.699344
876.000000, 89.817912
875.000000, 90.202865
874.000000, 90.392617
873.000000, 90.643525
872.000000, 91.172214
871.000000, 91.556416
870.000000, 91.911289
869.000000, 92.281879
868.000000, 92.386007
867.000000, 92.576490
866.000000, 92.866471
865.000000, 93.180331
864.000000, 93.264390
863.000000, 93.388929
862.000000, 93.346498
861.000000, 93.596520
860.000000, 93.671306
859.000000, 93.929500
858.000000, 93.883436
857.000000, 94.047685
856.000000, 94.114372
855.000000, 93.917261
854.000000, 93.901486
853.000000, 93.872084
852.000000, 94.064567
851.000000, 94.129543
850.000000, 93.977662
849.000000, 94.341111
848.000000, 94.250606
847.000000, 94.261971
846.000000, 94.163556
845.000000, 94.187298
844.000000, 94.505994
843.000000, 94.101633
842.000000, 94.106950
841.000000, 94.116643
840.000000, 94.265846
839.000000, 94.297143
838.000000, 94.203974
837.000000, 94.138483
836.000000, 93.984446
835.000000, 94.149636
834.000000, 94.384858
833.000000, 94.144609
832.000000, 94.181776
831.000000, 94.097421
830.000000, 94.333333
829.000000, 94.098079
828.000000, 94.098379
827.000000, 94.181776
826.000000, 94.102770
825.000000, 94.240717
824.000000, 94.133195
823.000000, 94.132873
822.000000, 94.112912
821.000000, 94.265357
820.000000, 94.275533
819.000000, 94.189655
818.000000, 94.283580
817.000000, 94.170352
816.000000, 94.211222
815.000000, 94.193993
814.000000, 94.180775
813.000000, 94.131819
812.000000, 94.158450
811.000000, 94.215349
810.000000, 94.214355
809.000000, 94.253992
808.000000, 94.194028
807.000000, 94.204721
806.000000, 94.245057
805.000000, 94.356633
804.000000, 94.250185
803.000000, 94.280990
802.000000, 94.256738
801.000000, 94.152813
800.000000, 94.306353
799.000000, 94.347134
798.000000, 94.199115
797.000000, 94.018014
796.000000, 94.169641
795.000000, 94.282803
794.000000, 94.266470
793.000000, 94.269390
792.000000, 94.381959
791.000000, 94.296363
790.000000, 94.351878
789.000000, 94.289097
788.000000, 94.366197
787.000000, 94.257270
786.000000, 94.343866
785.000000, 94.202899
784.000000, 94.355608
783.000000, 94.344386
782.000000, 94.213533
781.000000, 94.275642
780.000000, 94.241950
779.000000, 94.253452
778.000000, 94.227438
777.000000, 94.389181
776.000000, 94.173729
775.000000, 94.160909
774.000000, 94.253258
773.000000, 94.177778
772.000000, 94.150619
771.000000, 94.138849
770.000000, 94.187143
769.000000, 94.177608
768.000000, 94.020356
767.000000, 94.196157
766.000000, 93.996683
765.000000, 94.086111
764.000000, 93.972043
763.000000, 93.922499
762.000000, 93.943740
761.000000, 93.967134
760.000000, 93.937555
759.000000, 93.926546
758.000000, 94.015072
757.000000, 94.012536
756.000000, 93.877327
755.000000, 93.987481
754.000000, 93.894009
753.000000, 93.837044
752.000000, 93.769163
751.000000, 93.855085
750.000000, 93.867046
749.000000, 93.874199
748.000000, 93.750342
747.000000, 93.913376
746.000000, 93.988951
745.000000, 93.875990
744.000000, 93.925157
743.000000, 93.896047
742.000000, 93.882674
741.000000, 93.909627
740.000000, 93.981557
739.000000, 93.971960
738.000000, 94.028141
737.000000, 94.070801
736.000000, 93.956733
735.000000, 94.075003
734.000000, 94.112837
733.000000, 94.050667
732.000000, 94.076940
731.000000, 94.103864
730.000000, 94.002941
729.000000, 94.106112
728.000000, 93.986273
727.000000, 94.061240
726.000000, 94.042298
725.000000, 93.931470
724.000000, 93.951613
723.000000, 93.868876
722.000000, 93.861753
721.000000, 93.685988
720.000000, 93.699542
719.000000, 93.679446
718.000000, 93.744883
717.000000, 93.641965
716.000000, 93.642312
715.000000, 93.765001
714.000000, 93.776953
713.000000, 93.810382
712.000000, 93.814489
711.000000, 93.839096
710.000000, 93.891044
709.000000, 93.948001
708.000000, 94.012467
707.000000, 93.981304
706.000000, 94.003064
705.000000, 93.940057
704.000000, 94.014335
703.000000, 93.991134
702.000000, 93.985333
701.000000, 93.953336
700.000000, 94.050619
699.000000, 93.977422
698.000000, 94.018312
697.000000, 94.054410
696.000000, 94.003402
695.000000, 94.018548
694.000000, 93.967505
693.000000, 94.010431
692.000000, 94.059134
691.000000, 94.037151
690.000000, 93.967033
689.000000, 93.975043
688.000000, 93.974049
687.000000, 93.939061
686.000000, 93.920220
685.000000, 93.965090
684.000000, 93.945065
683.000000, 93.959732
682.000000, 93.994606
681.000000, 93.960064
680.000000, 93.946398
679.000000, 93.917730
678.000000, 93.893718
677.000000, 93.956589
676.000000, 93.884298
675.000000, 93.776482
674.000000, 93.807163
673.000000, 93.959769
672.000000, 93.968271
671.000000, 93.897670
670.000000, 93.824372
669.000000, 93.800198
668.000000, 93.733509
667.000000, 93.890357
666.000000, 93.984259
665.000000, 93.760660
664.000000, 93.775432
663.000000, 93.889561
662.000000, 93.736608
661.000000, 93.821800
660.000000, 93.700917
659.000000, 93.676931
658.000000, 93.786706
657.000000, 93.712624
656.000000, 93.682132
655.000000, 93.650968
654.000000, 93.802446
653.000000, 93.752398
652.000000, 93.707865
651.000000, 93.555811
650.000000, 93.737329
649.000000, 93.553330
648.000000, 93.612829
647.000000, 93.721261
646.000000, 93.742809
645.000000, 93.550855
644.000000, 93.595844
643.000000, 93.698031
642.000000, 93.557729
641.000000, 93.504862
640.000000, 93.625280
639.000000, 93.575724
638.000000, 93.536226
637.000000, 93.474937
636.000000, 93.419616
635.000000, 93.474937
